config_id,v_sat,v_dep_sat,v_col_sat,kappa,n,width_crab_sat,width_crab_byz_sat,width_crab_p125_sat,width_crab_p150_sat,width_crab_p200_sat,c_star_sat,width_crabhe_cstar_minus_eps,width_crabhe_cstar,width_crabhe_cstar_plus_eps,c_n_star_sat,he_condition_valid,he_condition_reason,mad_standalone_width_sat,he_standalone_margin_sat,elapsed_micros
dep0.010-col0.50-k3-n1,2000000,20000,10000,3,1,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2020000,true,valid,10000,0,0
dep0.010-col0.50-k3-n3,2000000,20000,10000,3,3,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2060000,true,valid,10000,0,0
dep0.010-col0.50-k3-n5,2000000,20000,10000,3,5,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2100000,true,valid,10000,0,0
dep0.010-col0.50-k3-n7,2000000,20000,10000,3,7,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2140000,true,valid,10000,0,0
dep0.010-col0.50-k5-n1,2000000,20000,10000,5,1,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2020000,true,valid,10000,5000,0
dep0.010-col0.50-k5-n3,2000000,20000,10000,5,3,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2060000,true,valid,10000,5000,0
dep0.010-col0.50-k5-n5,2000000,20000,10000,5,5,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2100000,true,valid,10000,5000,0
dep0.010-col0.50-k5-n7,2000000,20000,10000,5,7,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2140000,true,valid,10000,5000,0
dep0.010-col0.50-k7-n1,2000000,20000,10000,7,1,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2020000,true,valid,10000,6666,0
dep0.010-col0.50-k7-n3,2000000,20000,10000,7,3,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2060000,true,valid,10000,6666,0
dep0.010-col0.50-k7-n5,2000000,20000,10000,7,5,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2100000,true,valid,10000,6666,0
dep0.010-col0.50-k7-n7,2000000,20000,10000,7,7,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2140000,true,valid,10000,6666,0
dep0.010-col0.75-k3-n1,2000000,20000,15000,3,1,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2020000,true,valid,5000,5000,0
dep0.010-col0.75-k3-n3,2000000,20000,15000,3,3,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2060000,true,valid,5000,5000,0
dep0.010-col0.75-k3-n5,2000000,20000,15000,3,5,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2100000,true,valid,5000,5000,0
dep0.010-col0.75-k3-n7,2000000,20000,15000,3,7,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2140000,true,valid,5000,5000,0
dep0.010-col0.75-k5-n1,2000000,20000,15000,5,1,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2020000,true,valid,5000,10000,0
dep0.010-col0.75-k5-n3,2000000,20000,15000,5,3,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2060000,true,valid,5000,10000,0
dep0.010-col0.75-k5-n5,2000000,20000,15000,5,5,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2100000,true,valid,5000,10000,0
dep0.010-col0.75-k5-n7,2000000,20000,15000,5,7,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2140000,true,valid,5000,10000,0
dep0.010-col0.75-k7-n1,2000000,20000,15000,7,1,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2020000,true,valid,5000,11666,0
dep0.010-col0.75-k7-n3,2000000,20000,15000,7,3,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2060000,true,valid,5000,11666,0
dep0.010-col0.75-k7-n5,2000000,20000,15000,7,5,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2100000,true,valid,5000,11666,0
dep0.010-col0.75-k7-n7,2000000,20000,15000,7,7,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2140000,true,valid,5000,11666,0
dep0.010-col1.00-k3-n1,2000000,20000,20000,3,1,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2020000,true,valid,0,10000,0
dep0.010-col1.00-k3-n3,2000000,20000,20000,3,3,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2060000,true,valid,0,10000,0
dep0.010-col1.00-k3-n5,2000000,20000,20000,3,5,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2100000,true,valid,0,10000,0
dep0.010-col1.00-k3-n7,2000000,20000,20000,3,7,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2140000,true,valid,0,10000,0
dep0.010-col1.00-k5-n1,2000000,20000,20000,5,1,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2020000,true,valid,0,15000,0
dep0.010-col1.00-k5-n3,2000000,20000,20000,5,3,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2060000,true,valid,0,15000,0
dep0.010-col1.00-k5-n5,2000000,20000,20000,5,5,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2100000,true,valid,0,15000,0
dep0.010-col1.00-k5-n7,2000000,20000,20000,5,7,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2140000,true,valid,0,15000,0
dep0.010-col1.00-k7-n1,2000000,20000,20000,7,1,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2020000,true,valid,0,16666,0
