"feeSat","seed","success","artifact"
"250","1","True","artifacts/onchain/regtest/fee_profiles/fee_250_seed_1.json"
"250","2","True","artifacts/onchain/regtest/fee_profiles/fee_250_seed_2.json"
"250","3","True","artifacts/onchain/regtest/fee_profiles/fee_250_seed_3.json"
"500","1","True","artifacts/onchain/regtest/fee_profiles/fee_500_seed_1.json"
"500","2","True","artifacts/onchain/regtest/fee_profiles/fee_500_seed_2.json"
"500","3","True","artifacts/onchain/regtest/fee_profiles/fee_500_seed_3.json"
"1000","1","True","artifacts/onchain/regtest/fee_profiles/fee_1000_seed_1.json"
"1000","2","True","artifacts/onchain/regtest/fee_profiles/fee_1000_seed_2.json"
"1000","3","True","artifacts/onchain/regtest/fee_profiles/fee_1000_seed_3.json"
"2500","1","True","artifacts/onchain/regtest/fee_profiles/fee_2500_seed_1.json"
"2500","2","True","artifacts/onchain/regtest/fee_profiles/fee_2500_seed_2.json"
"2500","3","True","artifacts/onchain/regtest/fee_profiles/fee_2500_seed_3.json"
"5000","1","True","artifacts/onchain/regtest/fee_profiles/fee_5000_seed_1.json"
"5000","2","True","artifacts/onchain/regtest/fee_profiles/fee_5000_seed_2.json"
"5000","3","True","artifacts/onchain/regtest/fee_profiles/fee_5000_seed_3.json"
